,name of item,price (RM),number of downloads,item URL
0,1500+ Ultimate Social Media Template Bundle for CANVA / Canva Instagram Template Bundle,59.94,1000.0,https://www.etsy.com/listing/1245919506/1500-ultimate-social-media-template?click_key=6ccce274c08f3ea6752a8bde2d51bde39a64f9cf%3A1245919506&click_sum=de56eda4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204055-1-1&pro=1&bes=1&sts=1&dd=1
1,"The Ultimate Notion Planner, Notion Template, Notion Planner, Notion Life Planner, Aesthetic Notion Planner, Light and Dark Themes",51.34,10500.0,https://www.etsy.com/listing/1646138597/the-ultimate-notion-planner-notion?click_key=ee8e3c3223485f61bbfcf4309f58643e4460f980%3A1646138597&click_sum=8194d4c9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204055-1-2&pro=1&bes=1&sts=1&dd=1
2,Annual Budget Google Sheets Excel Spreadsheet Monthly Biweekly Budget Tracker Bill Calendar Debt Tracker 50/30/20 Budget Spreadsheet Tracker,47.70,385.0,https://www.etsy.com/listing/1583852219/annual-budget-google-sheets-excel?click_key=1ce7bfe8e490b148735dbbbdb42bc3802d7e01f5%3A1583852219&click_sum=ed01d85c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204055-1-3&pro=1&bes=1&sts=1&dd=1
3,"The Ultimate Wedding Day Binder Template, Edit in Canva, Wedding Itinerary, Instant Download, Digital Template, Printable, Wedding Planner",38.53,1600.0,https://www.etsy.com/listing/1574552012/the-ultimate-wedding-day-binder-template?click_key=a897a95d01142e79f27bc6db7154f8fce8568584%3A1574552012&click_sum=626a8019&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204055-1-4&pro=1&bes=1&sts=1&dd=1
4,"1000 Digital Products Ideas To Create And Sell Today For Passive Income, Etsy Digital Downloads Small Business Ideas and Bestsellers to Sell",8.01,19600.0,https://www.etsy.com/listing/1357028341/1000-digital-products-ideas-to-create?click_key=1844387a19c5c0206f3b7ed54d4e6268446b49c0%3A1357028341&click_sum=681094a2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-1&pro=1&pop=1&sts=1&dd=1
5,"Pack of 45 Pink Pastel Instagram Engagement Stories Templates for Product-Based Small Business, Story IG Templates Small Biz Owners Resource",3.97,19600.0,https://www.etsy.com/listing/1250832854/pack-of-45-pink-pastel-instagram?click_key=1e58aba955f460c6b3f73e48d6cbf1bdf846af06%3A1250832854&click_sum=e487090c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-2&pro=1&bes=1&sts=1&dd=1
6,Etsy Digital Product ideas 100 digital product ideas to sell on etsy digital products list of 100 digital products that sell High demand,4.98,879.0,https://www.etsy.com/listing/1546780436/etsy-digital-product-ideas-100-digital?click_key=ad5666571ca06aee26209c772a7962ab904b043a%3A1546780436&click_sum=dfce2ead&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-3&pro=1&bes=1&dd=1
7,1800 Neutral Instagram Post Templates - Engagement - Story Templates - Canva Blogger Template - Business - Coach - Reels - Beige Feed - Boho,28.51,2000.0,https://www.etsy.com/listing/1211161810/1800-neutral-instagram-post-templates?click_key=004b581c20622429667a66339523bb391eb6f019%3A1211161810&click_sum=b0c8da67&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-4&pro=1&bes=1&sts=1&dd=1
8,Canva Pro Upgrade - Full Features for Lifetime | In your Email | Unlimited Access - Bonus Canva templates | Design Features - Edu,24.03,21.0,https://www.etsy.com/listing/1665473013/canva-pro-upgrade-full-features-for?click_key=84a29d683587c3955108428e08a8d6acf178d056%3A1665473013&click_sum=df488f5c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-5&pro=1&bes=1&dd=1
9,50 Instagram Post Templates | Marketing Templates | Instagram Engagement | Social Media Manager Posts,11.95,3000.0,https://www.etsy.com/listing/1319908362/50-instagram-post-templates-marketing?click_key=13847971ded286855d7c76c150fe246dfb9bccf9%3A1319908362&click_sum=430b7158&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-6&pro=1&bes=1&sts=1&dd=1
10,Budget Planner Google Sheets Monthly Budget Spreadsheet Paycheck Budget Tracker Google Sheets Weekly Budget Template BiWeekly Budget Debt,5.42,384.0,https://www.etsy.com/listing/1641275515/budget-planner-google-sheets-monthly?click_key=fc9056f6146f1ddad8900cebd53936c0adffeac0%3A1641275515&click_sum=0d098b7b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-7&pro=1&bes=1&sts=1&dd=1
11,800 Instagram Templates - Instagram Templates Coach - Instagram Templates for Business - Instagram Templates Canva - Aesthetic Instagram,33.25,2900.0,https://www.etsy.com/listing/1272428651/800-instagram-templates-instagram?click_key=ebf695d593a87a9473cc477ccc9c181d71a0007c%3A1272428651&click_sum=a75a977c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-204056-1-8&pro=1&bes=1&sts=1&dd=1
12,"Ultimate Monthly Budget Spreadsheet for Google Sheets, Budget Template, Personal Budget, Paycheck Budget, Weekly Budget, Spending Tracker",50.20,5400.0,https://www.etsy.com/listing/1241085232/ultimate-monthly-budget-spreadsheet-for?click_key=04030124625bed62956e1c6b375b57371d25e4e5%3A1241085232&click_sum=e0e6399c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-5&pro=1&sts=1&dd=1
13,Airbnb Welcome Book Template | Modern Beach House | Airbnb House Guide Canva | Airbnb Guidebook | VRBO Guest Book | Beach Vacation Rental,33.04,538.0,https://www.etsy.com/listing/1422205539/airbnb-welcome-book-template-modern?click_key=16cb68ebb117b292f662cc5acd3ec572dc3e7099%3A1422205539&click_sum=06d75dad&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-6&pro=1&bes=1&sts=1&dd=1
14,730+ Instagram Video Reel Templates | Motivational Reels | Canva Templates | Quotes Reel Templates,32.25,33.0,https://www.etsy.com/listing/1595438054/730-instagram-video-reel-templates?click_key=03b49955083c29d4bccad13011b1b6f3b8ba5f98%3A1595438054&click_sum=3396fc27&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-7&dd=1
15,Neutral Cookbook | Canva Cookbook Template | Natural Tones | Canva Recipe Book Template | Editable Recipe EBook | Beige and White Coobook,35.14,16.0,https://www.etsy.com/listing/1573320313/neutral-cookbook-canva-cookbook-template?click_key=edce4f8f5fde3e550d9d12b9a250dd358154eb36%3A1573320313&click_sum=eb2ed843&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-8&pro=1&sts=1&dd=1
16,Etsy 40 Free Listings To Open New Store | 40 Free Etsy Listings Credit For Open New Store | 40 Etsy Listings for Free | Link in Description,0.25,164.0,https://www.etsy.com/listing/1549320618/etsy-40-free-listings-to-open-new-store?click_key=c4f768e081b774edc530a794307a19d3e5c074a7%3A1549320618&click_sum=e1f98418&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-9&pro=1&bes=1&dd=1
17,"How To Sell Products And Rank 1st On Etsy Search Page, Etsy Shop Seller Help Selling Guide, How To Rank On Etsy Shop Seller Handbook",10.03,19600.0,https://www.etsy.com/listing/1269176236/how-to-sell-products-and-rank-1st-on?click_key=76eb67f037799506bbe996cf195e5df20c71e4c9%3A1269176236&click_sum=6b37a50f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-10&pro=1&bes=1&sts=1&dd=1
18,2024 Digital Planner | DATED Goodnotes Digital Planner 2024 | Digital Journal | Daily Planner | iPad Planner | Daily Notability Planner,5.23,1100.0,https://www.etsy.com/listing/1632709290/2024-digital-planner-dated-goodnotes?click_key=8ab7f9e9d79b5d5bad706fea3313e69112492513%3A1632709290&click_sum=55453fd4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-11&pro=1&bes=1&dd=1
19,"Instagram Profile Mock-up Editable Canva Templates for Feed, Reels & Posts - Mobile IG Mockup Social Media Feed Planner - White Background",6.84,116.0,https://www.etsy.com/listing/1445528596/instagram-profile-mock-up-editable-canva?click_key=41a208120cc7c2f6b14d67b798e2ba1ffa68f56e%3A1445528596&click_sum=474cb1ec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-12&bes=1&dd=1
20,"THAT GIRL Undated Digital Planner | Daily, Weekly, Monthly Goodnotes iPad Planner, Self Care Planner, ADHD Friendly Planner, Meal Planner",14.81,2900.0,https://www.etsy.com/listing/1477769781/that-girl-undated-digital-planner-daily?click_key=b4b4c0dd71ba8e8e72fdba77b7d74825ff306b84%3A1477769781&click_sum=75d359db&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-13&pro=1&bes=1&sts=1&dd=1
21,"Digital Planner 2024 2025 2026 Undated Digital Planners | Goodnotes Planner Xodo Notability Noteshelf ,iPad Planner Android Planner 4 Themes",5.18,2600.0,https://www.etsy.com/listing/1519686558/digital-planner-2024-2025-2026-undated?click_key=56cddee611b8ae8a1a60fdad25571e104ab137fd%3A1519686558&click_sum=e13fa3b4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-14&pro=1&bes=1&dd=1
22,800 Colorful Pastel Instagram Templates - Canva Social Media Template - Instagram Templates for Business - Story Template - Carousels - GG02,33.25,2900.0,https://www.etsy.com/listing/1494599278/800-colorful-pastel-instagram-templates?click_key=06d688f8c309da0c18e34ec3b7bece6a56dcdda1%3A1494599278&click_sum=7cb2c8dc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-15&pro=1&bes=1&sts=1&dd=1
23,800 Coach Instagram Post Templates - Engagement Booster - Business - Pink - Quotes - Canva - Blogger - Social Media - Beauty - PP01,33.25,2900.0,https://www.etsy.com/listing/1055607685/800-coach-instagram-post-templates?click_key=59469dbc22f33b4201c02b78166c4753c7c79fc2%3A1055607685&click_sum=f490edcd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-16&pro=1&bes=1&sts=1&dd=1
24,"Social Media Templates Canva, Coaching Instagram Templates, Social Media Manager Template, Digital Marketing, Aesthetic Instagram Templates",87.14,648.0,https://www.etsy.com/listing/1593026240/social-media-templates-canva-coaching?click_key=1784db5489725efcdb4572f062920cb7f6dc3d2d%3A1593026240&click_sum=efe8d8a0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-9&pro=1&bes=1&sts=1&dd=1
25,"Airbnb Welcome Book Template, House Host Manual Guidebook Template, Guest Book Canva Template, Short Term Rental Vacation Rental Template",47.22,1500.0,https://www.etsy.com/listing/1453313943/airbnb-welcome-book-template-house-host?click_key=42202a973c5582a438589fa2c0fe94b78f34b4e8%3A1453313943&click_sum=16b9412b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-10&pro=1&dd=1
26,Adel Instagram Template Canva; Instagram Story Template; Instagram Post; Instagram Template Coach; Social Media Content; Media Kit Template,68.50,135.0,https://www.etsy.com/listing/1511650965/adel-instagram-template-canva-instagram?click_key=b9fa9b75cad41cb3538da3be85045fb7ebc83b0a%3A1511650965&click_sum=4d6371f2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-11&pro=1&dd=1
27,Editable Canva Templates -INSTAGRAM POST,2.64,1.0,https://www.etsy.com/listing/1612866518/editable-canva-templates-instagram-post?click_key=215fcd6c658ac880eb679dff467cb3e5a8bd17de%3A1612866518&click_sum=2c1eab86&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755555-1-12&pro=1&dd=1
28,"Social Media Canva Templates: Business Infographics for Instagram and Pinterest, Perfect for Entrepreneurs. Elevate Your Visual Storytelling",7.55,703.0,https://www.etsy.com/listing/1381483429/social-media-canva-templates-business?click_key=f8fc950b1405ba931b442ee3d9566dfca6fdb832%3A1381483429&click_sum=68f6d1e8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-17&pro=1&dd=1
29,"650 Party Favor Templates Bundle , Party Templates , Chip bag Template , Party Favors , Capri Sun Labels , Ring Pop , Chocolate Bar Wrappers",9.42,413.0,https://www.etsy.com/listing/1553337258/650-party-favor-templates-bundle-party?click_key=dcc4753e39375fd99d9938e1fc38152cd5b66520%3A1553337258&click_sum=5235aa7d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-18&pro=1&bes=1&dd=1
30,Passive Income with ChatGPT (The Ultimate Prompt Engineering Guide for Beginners/ advanced practitioners) eBook | digital download | print,19.54,397.0,https://www.etsy.com/listing/1472478837/passive-income-with-chatgpt-the-ultimate?click_key=2687af4ad8077d27e68d4dc647b1c8e46016ba0e%3A1472478837&click_sum=dce63ff6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-19&pro=1&bes=1&dd=1
31,950 Instagram Templates | Neutral Brown Beige Templates | Boho Canva Templates| Instagram Engagement | Minimal aesthetic carousels canva,26.52,1100.0,https://www.etsy.com/listing/1483419446/950-instagram-templates-neutral-brown?click_key=3150e57ea6bfc13959f66b187cc615adca201694%3A1483419446&click_sum=736cecf9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-20&pro=1&bes=1&sts=1&dd=1
32,"Instagram Profile Mock-up Editable Canva Templates for Feed, Reels & Posts - Mobile IG Mockup Social Media Feed Planner - White Background",6.84,116.0,https://www.etsy.com/listing/1488635558/instagram-profile-mock-up-editable-canva?click_key=c242e7cfed9b040ebe69d050f8d5c53a8c836e83%3A1488635558&click_sum=9c310310&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-21&dd=1
33,"6 Party Favor Template Bundle, Chip Bag Template, Water Bottle Labels, Chocolate Bar , Pringles Template, Party Favor , SVG , Canva Editable",5.08,413.0,https://www.etsy.com/listing/1563708248/6-party-favor-template-bundle-chip-bag?click_key=a657c18ccb480b14dee7db8e950d12d6c9720fa8%3A1563708248&click_sum=9e29dd39&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=canva+template&ref=search_grid-755556-1-22&pro=1&bes=1&dd=1
